phase,Dice_LV,Dice_Myocardium,Dice_RV,HD95_LV,HD95_Myocardium,HD95_RV,Mean_Dice,Mean_HD95
ED,0.893,0.7245,0.8719,19.5908,15.6014,8.2019,0.8298,14.4647
ES,0.7669,0.7928,0.8107,35.3532,23.7328,10.4044,0.7901,23.1635
