phase,Dice_LV,Dice_Myocardium,Dice_RV,HD95_LV,HD95_Myocardium,HD95_RV,Mean_Dice,Mean_HD95
ED,0.9007,0.7715,0.8546,8.091,5.8977,8.5788,0.8423,7.5225
ES,0.8287,0.8214,0.7946,14.8203,7.1129,8.4122,0.8149,10.1151
