vendor,patient,phase,Mean_Dice,Mean_HD95,Dice_LV,Dice_Myocardium,Dice_RV,HD95_LV,HD95_Myocardium,HD95_RV
A,B0H7V0,ED,0.8739852557970318,4.812267597498763,0.9449826989619567,0.8321872113312982,0.8447858570978403,2.8333332538604736,2.0034691571660868,9.600000381469728
B,K9N0W0,ED,0.8549659013998169,8.291764578123404,0.893955689395626,0.7911640530761527,0.8797779617276721,10.0,4.875293734370208,10.0
C,K3R0Y7,ES,0.8476365510398504,7.349122275300616,0.8900144717801881,0.8743101807802691,0.778585000559094,2.643999254493388,10.0,9.403367571408465
D,H6P7T1,ES,0.8087408634566167,8.166675814959286,0.8159291173750957,0.7856199920179948,0.8246734809767593,10.0,4.500027444877858,10.0
